sample	unit	platform	fq1	fq2
A	1	ILLUMINA	data/fastq/rg-1_1.fq.gz	data/fastq/rg-1_2.fq.gz
A	2	ILLUMINA	data/fastq/rg-2_1.fq.gz	data/fastq/rg-2_2.fq.gz
A	3	ILLUMINA	data/fastq/rg-3_1.fq.gz	data/fastq/rg-3_2.fq.gz
A	4	ILLUMINA	data/fastq/rg-4_1.fq.gz	data/fastq/rg-4_2.fq.gz
A	5	ILLUMINA	data/fastq/rg-5_1.fq.gz	data/fastq/rg-5_2.fq.gz
A	6	ILLUMINA	data/fastq/rg-6_1.fq.gz	data/fastq/rg-6_2.fq.gz
IRIS_313-11881	11	ILLUMINA	data/fastq/IRIS_313-11881-rg1_1.fq.gz	data/fastq/IRIS_313-11881-rg1_2.fq.gz
IRIS_313-11881	12	ILLUMINA	data/fastq/IRIS_313-11881-rg2_1.fq.gz	data/fastq/IRIS_313-11881-rg2_2.fq.gz
IRIS_313-11881	13	ILLUMINA	data/fastq/IRIS_313-11881-rg3_1.fq.gz	data/fastq/IRIS_313-11881-rg3_2.fq.gz
IRIS_313-11881	14	ILLUMINA	data/fastq/IRIS_313-11881-rg4_1.fq.gz	data/fastq/IRIS_313-11881-rg4_2.fq.gz
IRIS_313-11881	15	ILLUMINA	data/fastq/IRIS_313-11881-rg5_1.fq.gz	data/fastq/IRIS_313-11881-rg5_2.fq.gz
IRIS_313-11881	16	ILLUMINA	data/fastq/IRIS_313-11881-rg6_1.fq.gz	data/fastq/IRIS_313-11881-rg6_2.fq.gz
